Год,Месяц,"Доходы, всего",Нефтегазовые доходы,Ненефтегазовые доходы,"Ненефтегазовые доходы, связанные с внутренним производством",Ненефтегазовые доходы - НДС (внутренний),Ненефтегазовые доходы - Акцизы,Ненефтегазовые доходы - Налог на прибыль,Ненефтегазовые доходы - Налог на доходы физических лиц,"Доходы, связанные с импортом","Доходы, связанные с импортом - НДС на ввозимые товары","Доходы, связанные с импортом - Акцизы на ввозимые товары","Доходы, связанные с импортом - Ввозные пошлины",Прочие доходы,"Расходы, всего",Расходы на общегосударственные вопросы,Расходы на национальную оборону,Расходы на национальную безопасность и правоохранительную деятельность,Расходы на национальную экономику,Расходы на жилищно-коммунальное хозяйство,Расходы на охрану окружающей среды,Расходы на образование,"Расходы на культуру, кинематографию",Расходы на здравоохранение,Расходы на социальную политику,Расходы на физическую культуру и спорт,Расходы на средства массовой информации,Расходы на обслуживание государственного и муниципального долга,Расходы на межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,Дефицит (-)/Профицит (+),Ненефтегазовый дефицит,Источники финансирования дефицита федерального бюджета - всего,Источники внутреннего финансирования дефицита,Источники внутреннего финансирования дефицита (без учета изменения остатков на счетах),Сальдо внутреннего долга:,Привлечение,Погашение государственного внутреннего долга,Бюджетные кредиты:,Предоставление кредитов,Возврат кредитов,"Поступления от продажи акций и земельных участков, находящихся в государственной собственности",Курсовая разница,Изменение остатков на счетах ,Прочие источники внутреннего финансирования дефицита,Источники внешнего  финансирования дефицита,Привлечение кредитов и размещение ценных бумаг,Погашение внешнего долга,Другие источники внешнего финансирования,Код разреза,Код признака
2018,июль,10496.2,4684.3,5811.9,3199.8,2078.9,548.9,572,,1727.2,1315.4,49.9,361.9,884.9,9114.6,662.6,1654.8,1010.6,1003.2,82,77.1,439,54,277.2,2766.8,34.5,44.9,489.4,518.6,1381.6,-3302.7,-1381.6,-516.8,1160.7,369.5,831.5,-461.9,19.9,,19.9,7.5,318.6,-2424.4,445.1,-119.6,229.6,-344.8,-4.4,OKEI,386
2018,август,12222.4,5501.8,6720.6,3497.4,2244.5,590.1,662.8,,2020.4,1539,56.8,424.5,1202.8,10261.1,726.5,1811.9,1163.9,1179.1,89,84.8,459.8,58,315.5,3118.5,37,51.8,567.8,597.7,1961.3,-3540.5,-1961.3,-1836.5,1403.9,371,891.8,-520.8,20,,20,7.6,754.3,-3240.4,251,-125.8,229.7,-345.6,-9.9,OKEI,386
2018,сентябрь,13 986.10,6 302.10,7 684.10,4 077.20,2 655.70,684.7,736.9,,2 290.00,1 745.30,65,479.7,1 316.80,11 370.20,814.6,1 929.50,1 304.30,1 369.30,97.4,86,485.8,63.6,358,3 452.50,39.1,58.9,621.3,689.8,2 615.90,-3 686.10,-2 615.90,-2 430.60,809,372.1,893,-520.9,24.5,,24.5,7.8,555,-3 239.60,-150.4,-117.7,229.8,-363.6,16.1,OKEI,386
2018,октябрь,15 802.30,7 222.10,8 580.30,4 571.40,2 976.40,742.2,852.7,,2 591.70,1 973.30,74.6,543.9,1 417.10,12 720.10,924.4,2 082.30,1 457.80,1 557.80,110.2,91.5,560.8,75.4,408,3 873.20,47.4,66.7,692.5,772.2,3 082.20,-4 139.80,-3 082.20,-2 892.30,1 029.40,423.3,945.4,-522,28.2,,28.2,8.3,492.3,-3 921.70,77.2,-129.8,230.1,-364.8,4.9,OKEI,386
2018,ноябрь,17 454.90,8 181.60,9 273.30,4 857.10,3 135.20,799.1,922.8,,2 886.90,2 196.50,84.6,605.8,1 529.30,14 012.20,1 013.80,2 313.60,1 638.70,1 747.30,120.1,93,622.6,81.2,458.3,4 216.70,49.8,73.8,734.8,848.6,3 442.70,-4 739.00,-3 442.70,-3 243.10,1 155.40,472.4,994.5,-522.2,61.6,,61.6,8.6,545.6,-4 451.90,67.3,-139.7,229,-354,-14.7,OKEI,386
2018,декабрь,19 454.40,9 017.80,10 436.60,5 430.90,3 574.60,860.7,995.5,,3 211.50,2 442.10,96.3,673,1 794.20,16 713.00,1 257.10,2 827.00,1 971.60,2 402.10,148.8,116,722.6,94.9,537.3,4 581.80,64,88.4,806,1 095.40,2 741.40,-6 276.40,-2 741.40,-2 530.90,1 471.20,507.5,1 036.60,-529,69.9,,69.9,12.8,839.2,-4 002.20,41.8,-135.5,305.3,-370.7,-70,OKEI,386
2019,январь,1486.34,680.76,805.58,485.81,378.9,57.63,49.32,,224.68,177.59,5.28,41.81,95.09,1119.64,71.26,70.04,113.8,22.84,27.8,3.13,110.24,11.41,13.71,554.19,4.2,0.42,47.48,69.13,366.7,-314.06,-366.7,-270.37,365.22,44.86,74.43,-29.57,0.14,,0.14,0.52,-332.17,-635.59,651.88,-96.31,0.18,-100.1,3.61,OKEI,386
2019,февраль,2 844.00,1 367.40,1 476.60,734.3,549.9,94.2,90.2,,494.7,386.9,11.5,96.4,247.6,2 465.30,159.5,388.6,255.1,131.3,39.2,46.4,142.2,16.2,51.7,975.4,5.6,5.1,111.4,137.5,378.7,-988.7,-378.7,-248.3,-57.3,56.2,234.7,-178.5,10.2,,10.2,0.9,-364.2,-191,239.7,-130.4,0.2,-101,-29.6,OKEI,386
2019,март,4 590.00,1 993.40,2 596.60,1 443.20,1 062.10,126.4,254.8,,785.3,611.1,18.8,155.4,368.1,3 924.10,244.9,802.5,404.2,289.1,41.2,62.4,165.4,19,160.4,1 344.30,6.9,12.8,158.8,212.2,665.9,-1 327.50,-665.9,-665.2,257.5,309.2,490.5,-181.3,9.1,,9.1,1,-575.5,-922.7,513.7,119.5,248.5,-123.8,-5.1,OKEI,386
2019,апрель,6 361.10,2 722.60,3 638.50,1 987.60,1 362.40,160.6,464.5,,1 098.00,852.2,25.9,219.9,553,5 676.20,401.4,1 120.10,565.8,454.9,92.7,79.4,330,33.6,225.6,1 766.70,14.5,20.1,228.4,343.1,683.4,-2 039.20,-683.4,-808.3,142.8,702.5,884,-181.5,9.2,,9.2,1.2,-606.2,-951.1,36.1,124.9,252.9,-125.1,-2.9,OKEI,386
2019,май,7 867.40,3 420.30,4 447.10,2 295.00,1 575.50,181,538.5,,1 395.60,1 082.40,33.3,280,756.5,6 584.20,444.7,1 168.70,701.9,610.5,104.7,96.2,357.6,37.6,262.1,2 106.40,16.5,25.7,290.8,360.7,1 283.30,-2 137.10,-1 283.30,-1 426.30,627.8,838.6,1 251.80,-413.2,9,,9,1.4,-555.4,-2 054.10,334.1,113.7,252.9,-126.6,-12.7,OKEI,386
2019,июнь,9 549.90,4 121.90,5 428.00,2 850.40,2 059.60,205,585.8,,1 675.10,1 299.20,40,335.9,902.4,7 854.10,532.1,1 354.30,867.1,828.7,118.3,107.2,400.5,41.6,312.6,2 447.70,19.5,34.2,356.5,434,1 695.70,-2 426.20,-1 695.70,-1 952.70,492.4,945.8,1 359.20,-413.4,12,,12,1.5,-727.6,-2 445.10,260.7,257,410,-130.2,-22.9,OKEI,386
2019,июль,11 471.30,4 782.90,6 688.40,3 446.50,2 442.60,275.9,728,,1 998.80,1 550.70,47.5,400.6,1 243.10,9 320.20,672.4,1 525.90,1 021.40,1 036.90,129.4,124.9,487.1,60.2,379.2,2 884.10,27,45.3,412.7,513.8,2 151.10,-2 631.80,-2 151.10,-2 450.00,518.6,1 070.20,1 483.70,-413.5,16.4,0,16.4,5.3,-798,-2 968.50,224.6,259.3,410.3,-130.4,-20.6,OKEI,386
2019,август,13 256.70,5 407.50,7 849.20,3 776.20,2 627.70,309,839.5,,2 314.90,1 797.50,54.6,462.8,1 758.00,10 582.40,755.9,1 750.80,1 174.70,1 221.60,143.4,134.1,515.5,66.8,432.9,3 239.30,31.8,53.5,471.4,590.8,2 674.30,-2 733.20,-2 674.30,-2 929.70,983.6,1 155.10,1 568.70,-413.6,17,,17,5.5,-406.2,-3 913.30,212.2,255.4,411.3,-131.3,-24.6,OKEI,386
2019,сентябрь,15 034.70,6 008.00,9 026.70,4 780.20,3 160.10,702,918.1,,2 613.40,2 031.90,62.2,519.3,1 633.10,12 048.20,873.6,2 086.60,1 340.80,1 430.70,153.8,145.4,556.8,72.4,482.4,3 600.30,38.7,63.1,532.2,671.5,2 986.60,-3 021.50,-2 986.60,-3 336.90,415.9,1 247.40,1 661.00,-413.7,17.9,,17.9,5.5,-772.1,-3 752.70,-82.9,350.7,411.4,-154,93.2,OKEI,386
2019,октябрь,16 671.20,6 676.70,9 994.40,5 281.80,3 473.90,776.4,1 031.40,,2 956.00,2 299.50,70.6,585.9,1 756.70,13 515.30,970.6,2 175.60,1 497.90,1 698.90,187.3,156.5,649.7,86.2,546.4,4 054.40,54.8,70,612.8,754.3,3 155.90,-3 520.80,-3 155.90,-3 542.20,887.1,1 334.40,1 856.50,-522.1,18.2,0,18.2,7.5,-705.4,-4 429.30,232.5,349.9,411.3,-155.2,93.9,OKEI,386
2019,ноябрь,18 025.60,7 265.40,10 760.20,5 564.90,3 618.90,855.5,1 090.50,,3 277.90,2 551.40,79.2,647.2,1 917.50,14 926.30,1 082.60,2 422.50,1 680.40,1 911.00,200.7,160,721.1,94.9,596.1,4 421.20,62.7,80.7,657.3,835.1,3 099.30,-4 166.10,-3 099.30,-3 480.90,1 110.80,1 401.30,1 956.30,-555.1,52.4,0,52.4,7.6,-711.3,-4 591.60,360.8,345.4,413.2,-156.7,88.8,OKEI,386
2019,декабрь,20 188.80,7 924.30,12 264.50,6 389.60,4 257.80,946.7,1 185.00,,3 644.50,2 837.40,90.3,716.9,2 230.40,18 214.50,1 363.50,2 997.40,2 083.20,2 827.10,282.2,197.6,826.5,122.4,713,4 882.80,81.4,103.5,730.8,1 003.10,1 974.30,-5 950.00,-1 974.30,-2 263.60,918.5,1 377.60,2 082.70,-705.2,55.9,0,55.9,11.5,-963.5,-3 182.10,437,289.3,414.5,-160.2,35,OKEI,386
2020,январь,1 556.50,615.9,940.6,504.6,366,93.6,45,,217.3,173.9,5.1,38.3,218.7,1 624.40,111.6,135.1,122.6,84,41.9,37.6,135.1,14.8,299.6,504.7,5,0.5,58.1,73.7,-67.8,-683.8,67.8,66.2,277.3,-69.3,206.4,-275.7,0,,0,0.6,100.6,-211.1,245.4,-2.2,,-0.3,-2,OKEI,386
2020,февраль,2 818.90,1 224.30,1 594.60,774.3,549.6,137.9,86.8,,466.3,367.1,11.2,88,354,2 982.20,198.2,517.2,272.7,188.5,48.5,68.6,162.6,22.3,341,908,7,6.3,93.4,147.9,-163.3,-1 387.60,163.3,179,1 218.90,226.1,501.9,-275.8,0,,0,1.1,738.6,-1 039.90,253.1,-15.7,0.1,-0.5,-15.3,OKEI,386
2020,март,4 731.30,1 787.90,2 943.40,1 642.00,1 116.20,198.1,327.6,,790.1,614.4,20.1,155.6,511.3,4 618.00,282.9,860.7,436.1,361.1,92.3,84.9,200.1,29,385.9,1 417.40,9.5,17.8,171.4,269,113.4,-1 674.60,-113.4,-68.2,2 433.40,226.8,502.8,-276,0,,0,3.3,2 452.60,-2 501.60,-249.3,-45.1,0.1,-27.9,-17.4,OKEI,386
2020,апрель,7 002.00,2 222.50,4 779.50,2 073.60,1 354.40,271.7,447.4,,1 065.60,836.9,27.8,200.8,1 640.30,6 755.30,462,1 081.30,608.8,574.1,118,105.8,383.5,45.2,489.7,2 145.40,16.4,25.7,254.5,444.9,246.7,-1 975.80,-246.7,53.1,121.5,538.4,842.9,-304.5,0,,0,3.3,1 865.30,-68.3,-2 285.60,-299.8,2.5,-288.6,-13.7,OKEI,386
2020,май,7 891.00,2 436.70,5 454.30,2 430.10,1 596.80,342.3,491,,1 314.10,1 036.80,34.4,243,1 710.10,8 164.70,528.1,1 328.20,759.2,774.1,139.3,120.3,410.1,49.6,574.5,2 502.60,19.2,32.1,301.6,626,-273.7,-2 710.40,273.7,579.7,294.3,713,1 229.40,-516.4,0,,0,3.3,1 571.30,285.4,-1 993.40,-306,2.5,-290,-18.5,OKEI,386
2020,июнь,9 091.90,2 661.00,6 430.80,3 028.30,2 078.60,412.9,536.8,,1 589.60,1 255.10,42.2,292.4,1 812.90,9 915.00,647.9,1 514.80,948.8,1 045.50,155.6,124,448.1,55.8,654.8,3 194.80,23.1,41.6,349.7,710.5,-823.1,-3 484.20,823.1,1 133.00,-302,1 096.10,1 612.60,-516.5,2,0,2,3.4,1 522.20,1 434.90,-2 925.70,-309.8,2.7,-293.9,-18.6,OKEI,386
2020,июль,10 399.70,3 002.10,7 397.60,3 571.10,2 412.10,502,656.9,,1 898.30,1 498.00,49.9,350.3,1 928.30,11 794.90,811.6,1 754.30,1 127.90,1 349.70,196.3,138.3,548.9,76.4,766.3,3 705.20,30.4,49,399.1,841.6,-1 395.20,-4 397.30,1 395.20,1 698.20,613.4,1 321.40,1 837.90,-516.6,2,0,2,7.6,2 156.50,1 084.80,-2 874.10,-303,2.7,-293.9,-11.9,OKEI,386
2020,август,11 688.30,3 407.00,8 281.40,3 895.10,2 589.70,579.4,725.9,,2 201.10,1 735.40,57.6,408.1,2 185.20,13 256.80,906.6,1 926.90,1 290.20,1 539.30,252.2,147.6,582.2,81.3,839,4 223.90,34.8,56.5,456.4,919.9,-1 568.50,-4 975.40,1 568.50,1 873.70,1 444.10,1 499.10,2 015.70,-516.7,3.3,0,3.3,7.6,2 378.30,429.6,-2 444.30,-305.2,2.7,-294.1,-13.9,OKEI,386
2020,сентябрь,13 216.70,3 854.00,9 362.70,4 494.30,3 001.10,673,820.1,,2 550.30,2 007.90,67.1,475.2,2 318.10,14 873.50,1 005.20,2 097.80,1 464.50,1 785.60,282.1,182.1,630.6,86.6,927.9,4 767.80,40.3,66.9,532.6,1 003.70,-1 656.80,-5 510.90,1 656.80,2 048.10,2 235.70,2 305.00,2 832.60,-527.5,3.3,0,3.3,7.6,2 881.40,-187.7,-2 961.60,-391.2,4.6,-388.5,-7.4,OKEI,386
2020,октябрь,15 145.40,4 328.50,10 816.90,5 122.40,3 447.10,749.4,925.9,,2 921.60,2 295.40,77.1,549.1,2 772.90,16 842.10,1 149.50,2 322.00,1 634.80,2 043.80,290.7,195.8,741.3,101.1,1 030.40,5 468.10,46.8,77.1,643.6,1 097.10,-1 696.70,-6 025.30,1 696.70,2 095.00,3 918.70,3 743.10,4 270.80,-527.7,4.1,0,4.1,7.6,2 840.00,-1 823.70,-2 676.10,-398.3,4.8,-389.7,-13.3,OKEI,386
2020,ноябрь,16 528.60,4 782.30,11 746.30,5 468.40,3 677.90,825.2,965.3,,3 299.90,2 588.30,88.7,623,2 978.00,18 931.50,1 254.60,2 574.50,1 845.40,2 586.80,383.4,212,832.7,114.6,1 152.80,5 872.60,53.6,84.1,691.9,1 272.30,-2 402.90,-7 185.20,2 402.90,2 726.70,4 504.00,4 497.80,5 058.40,-560.6,6.7,0,6.7,7.6,2 547.50,-1 777.40,-2 555.60,-231.7,185.5,-390.8,-26.4,OKEI,386
2020,декабрь,18 719.10,5 235.20,13 483.80,6 260.30,4 268.60,900.3,1 091.40,,3 748.80,2 933.50,102.1,713.2,3 474.80,22 821.60,1 507.70,3 168.80,2 226.60,3 483.90,371.5,260.6,956.9,144.5,1 334.40,6 990.30,75.3,121.1,784.2,1 395.90,-4 102.50,-9 337.70,4 102.50,4 403.20,4 529.80,4 600.60,5 176.40,-575.8,-217.2,-223.6,6.4,12.6,2 440.20,-126.6,-2 306.30,-300.8,188.2,-394.9,-94,OKEI,386
2021,январь,1 504.00,490.8,1 013.20,620.8,504.2,75,39.5,2.2,247,200.8,6.5,39.8,145.3,1 560.00,138.8,122.8,119,56,40.2,6.7,121.7,18.2,122.7,659.8,5.6,0.1,77.1,71.2,-56,-546.8,56,61.5,483.5,32.1,61.7,-29.6,0,0,0,0,237.6,-422,213.7,-5.5,0.1,0,-5.6,OKEI,386
2021,февраль,2 755.60,1 035.70,1 719.90,981.1,744,156.6,76.4,4.1,573.9,452.7,15.8,105.4,164.9,3 291.90,215.2,518.1,284.2,211.6,108.6,62.9,186.7,23.8,183,1 205.10,7.6,1,140,144.3,-536.3,-1 572.00,536.3,549.7,343.4,108.4,206.7,-98.3,2.6,0,2.6,0.1,39.6,206.3,192.8,-13.4,0.2,-0.2,-13.4,OKEI,386
2021,март,5 299.90,1 618.00,3 681.90,1 911.80,1 419.90,216.7,263.6,11.6,1 002.80,785,27.7,190.1,767.4,5 013.30,354.6,903.6,467.3,409.7,183.9,102,234.9,30.4,237.2,1 614.30,9.4,5.4,238.5,222.1,286.6,-1 331.40,-286.6,-238.9,538.7,624.4,739.4,-115,5.1,0,5.1,0.8,34.2,-777.6,-125.7,-47.8,3,-20.2,-30.6,OKEI,386
2021,апрель,7 486.80,2 511.40,4 975.40,2 613.10,1 834.60,308.6,449.7,20.1,1 429.60,1 115.50,38.6,275.5,932.7,7 156.90,528,1 149.80,654.4,642.4,215.4,147.5,430.9,49,435.3,2 158.10,17.5,16.4,351.9,360.4,329.9,-2 181.50,-329.9,-269,1 013.60,962.1,1 223.80,-261.7,5.5,0,5.5,1.9,13.6,-1 282.60,30.6,-60.9,3.2,-21.5,-42.7,OKEI,386
2021,май,9 320.30,3 129.00,6 191.30,3 058.10,2 098.10,402.3,531.8,25.9,1 807.60,1 412.30,49.8,345.5,1 325.60,8 878.20,604.2,1 339.80,808.7,1 249.10,244.7,181,468.8,53.5,493,2 604.00,20.1,25.6,410.6,374.9,442.1,-2 686.90,-442.1,-504.7,1 141.10,1 086.70,1 348.60,-261.9,5.5,0,5.5,2.1,-34.9,-1 645.70,81.6,62.6,137.5,-22.5,-52.5,OKEI,386
2021,июнь,11 265.80,3 776.00,7 489.80,3 808.10,2 651.00,487.4,636.7,33,2 212.70,1 730.40,61.2,421.2,1 469.00,10 491.10,719.1,1 522.50,994.1,1 507.50,255.2,215.9,535.5,60,573,3 046.50,22.8,42,506.1,490.9,774.7,-3 001.30,-774.7,-795.2,749.4,1 274.00,1 536.00,-262,10.6,0,10.6,2.2,-354.7,-1 544.70,-182.6,20.6,138.2,-25.9,-91.7,OKEI,386
2021,июль,13 651.10,4 770.00,8 881.10,4 561.80,3 121.60,571.1,827.6,41.6,2 623.50,2 051.20,73.1,499.2,1 695.80,12 615.90,914.2,1 686.30,1 176.40,1 818.30,290.8,245.9,632.2,77.8,746,3 733.40,36.2,52,587.2,619.1,1 035.30,-3 734.70,-1 035.30,-1 043.60,1 438.10,1 429.40,1 691.60,-262.2,12.2,0,12.2,2.4,-194.9,-2 481.70,189,8.4,138.2,-25.9,-103.9,OKEI,386
2021,август,15 697.80,5 465.90,10 231.90,5 006.60,3 351.50,664,942.6,48.5,3 008.80,2 365.00,83.9,559.9,2 216.50,14 620.70,1 041.00,1 824.10,1 346.40,2 102.40,316.7,277.3,676.1,88,899.5,4 571.80,40.7,61.2,675.3,700.3,1 077.00,-4 388.80,-1 077.00,-1 081.00,493.2,1 568.50,2 106.70,-538.3,-228.3,-240.7,12.4,3.6,-207.9,-1 574.20,-642.6,4,138.2,-26,-108.2,OKEI,386
2021,сентябрь,17 923.90,6 184.80,11 739.10,5 928.50,4 030.40,765.5,1 076.80,55.9,3 413.40,2 686.60,95.2,631.6,2 397.10,16 298.90,1 192.80,2 060.10,1 528.80,2 379.70,358.7,296.2,733.2,93.6,970.7,5 010.60,45.7,68.8,780.5,779.5,1 625.00,-4 559.80,-1 625.00,-1 609.10,1 009.80,1 748.90,2 287.90,-539,-251.2,-263.6,12.4,3.9,-447.1,-2 618.90,-44.8,-15.9,140.3,-45.2,-110.9,OKEI,386
2021,октябрь,20 431.70,7 292.70,13 139.10,6 677.00,4 516.80,850.4,1 243.60,66.2,3 791.70,2 985.10,105.5,701.2,2 670.30,18 134.70,1 318.90,2 300.80,1 708.60,2 638.50,384.8,338.3,852.9,108.5,1 072.80,5 513.70,53.8,81.9,901.8,859.5,2 297.10,-4 995.60,-2 297.10,-2 279.10,551.1,1 804.00,2 343.60,-539.6,-277.7,-296.2,18.4,4.8,-671.9,-2 830.20,-307.9,-18,140.5,-46.2,-112.2,OKEI,386
2021,ноябрь,22 440.0,8 177.4,14 262.7,7 146.6,4 763.7,934.6,1 374.1,74.2,4 242.4,3 340.3,119.3,782.8,2 873.7,19 940.9,1 431.6,2 652.5,1 906.5,2 944.2,412.8,346.0,948.5,122.2,1 199.7,5 899.6,60.7,91.8,975.9,948.8,2 499.1,-5 678.3,-2 499.1,-2 464.2,1 099.1,1 817.8,2 402.1,-584.3,-242.4,-304.9,62.5,4.8,-167.8,-3 563.4,-313.2,-34.9,141.2,-47.1,-128.9,OKEI,386
2021,декабрь,25 286.5,9 056.5,16 230.0,8 135.7,5 479.5,1 013.0,1 552.4,90.7,4 724.5,3 733.0,132.6,858.9,3 369.9,24 771.8,1 766.6,3 576.1,2 337.7,4 356.7,591.4,405.1,1 064.6,146.7,1 474.0,6 675.9,70.9,114.0,1 084.2,1 107.7,514.8,-8 541.7,-514.8,-475.3,1 286.2,1 538.1,2 519.4,-981.3,-265.9,-338.8,72.9,5.3,-232.1,-1 761.5,240.8,-39.4,215.9,-50.6,-204.7,OKEI,386
2022,январь,2 089.2,794.5,1 294.6,838.2,682.9,81.7,65.3,8.1,359.8,289.1,8.8,61.8,96.7,1 964.2,127.8,233.7,143.4,91.4,123.3,7.2,150.0,20.0,153.7,745.9,3.8,0.1,88.9,74.9,125.0,-669.5,-125.0,-129.7,1 280.5,-2.6,27.3,-30.0,-4.3,-4.3,0.0,1.6,484.2,-1 410.2,801.7,4.7,,,4.7,OKEI,386
